"","State","State.Code","Region","Division","GEOID.x","rentBurdenTotalE","rentBurdenTotalM","rentBurden3035E","rentBurden3035M","rentBurden3540E","rentBurden3540M","rentBurden4050E","rentBurden4050M","rentBurden50PlusE","rentBurden50PlusM","rentBurdenNCE","rentBurdenNCM","giniE","giniM","rentBurdenPerc","GEOID.y","HUEST"
"24","Minnesota","MN","Midwest","West North Central","27",624172,9048,55245,3580,35518,2719,46286,3984,123829,5446,31867,2172,0.44,0.0041,44.04,"27",2477753
"25","Mississippi","MS","South","East South Central","28",359578,8258,27935,3365,17812,3191,24780,2745,74186,5288,59402,4091,0.49,0.0085,48.21,"28",1339021
"26","Missouri","MO","Midwest","West North Central","29",808318,9887,64286,4896,47858,4146,62966,5066,153604,6918,66643,3934,0.46,0.0042,44.32,"29",2819383
"27","Montana","MT","West","Mountain","30",136195,4810,11949,1971,6337,1179,10415,1796,27245,2668,11201,1495,0.46,0.0104,44.76,"30",519935
"28","Nebraska","NE","Midwest","West North Central","31",260074,6224,20514,2399,15122,2185,20892,2516,43288,3020,17733,1928,0.44,0.0056,41.19,"31",851227
"29","Nevada","NV","West","Mountain","32",496039,9108,46523,4097,35625,3423,43912,3521,112823,5599,28179,3378,0.47,0.0074,51.06,"32",1285684
"30","New Hampshire","NH","Northeast","New England","33",157230,6110,15077,2717,10184,1643,11556,1697,32770,3316,8828,1768,0.44,0.0089,46.89,"33",642315
"31","New Jersey","NJ","Northeast","Middle Atlantic","34",1204466,13665,100503,5668,71299,5245,106447,6960,283102,9244,57733,4746,0.48,0.0036,48.95,"34",3641812
"32","New Mexico","NM","West","Mountain","35",253368,7508,19067,2721,12335,1898,25270,3544,49086,3658,27461,2939,0.48,0.007,46.81,"35",948473
"33","New York","NY","Northeast","Middle Atlantic","36",3461296,23015,291524,10403,210754,8292,275873,9653,859159,14837,193738,9873,0.51,0.0026,50.11,"36",8404381
